ngrams,Language,Precision,Recall

Unigrams,spanish,0.9616293192040253,0.96965292637302
Bigrams,spanish,0.9889591812064311,0.9908756913884291
Trigrams,spanish,0.9949016653662999,0.995316726553353
Quadgrams,spanish,0.7898698254056389,0.8614935335836462

Unigrams,portugese,0.9713668973398515,0.9637795275590552
Bigrams,portugese,0.9914427433706504,0.989644094488189
Trigrams,portugese,0.9956140350877193,0.9952251968503937
Quadgrams,portugese,0.8583091262028993,0.7854488188976378
