ngrams,Language,Precision,Recall
Unigrams,polish,0.9974456662914538,0.9954201771440916
Bigrams,polish,0.9985309367438645,0.9984877943400302
Trigrams,polish,0.9992221598029472,0.999049470728019
Quadgrams,polish,0.9921597504981374,0.9896305897602073
Unigrams,czech,0.991843016544825,0.995443311708372
Bigrams,czech,0.9972970885782686,0.9973741118319431
Trigrams,czech,0.9983014206300185,0.9986098239110287
Quadgrams,czech,0.9815483970169908,0.9860210071053445
